tag,brier,logloss,ece
raw_train,0.0439466814670588,0.1541643330971332,0.0664991246225548
raw_train,0.013631409576633,0.0491551790370896,0.031886233221145
raw_train,0.013631409576633,0.0491551790370896,0.031886233221145
raw_valid,3.957247969514983e-05,0.0,0.0049243130297469
raw_train,0.0081659716194016,0.0295677338741516,0.0198637951013687
raw_valid,1.0589810372692796e-05,0.0,0.0026170693465872
raw_train,0.0081659716194016,0.0295677338741516,0.0198637951013687
raw_valid,1.0589810372692796e-05,0.0,0.0026170693465872
identity_valid,1.0589810372692796e-05,0.0,0.0026170693465872
raw_train,0.0547695162781508,0.1940083011108659,0.0681513992743459
raw_valid,0.0306432407543677,0.1340113001071504,0.1130301676600054
platt_valid,0.0203414089883299,0.07759524843117,0.0448825918424711
raw_train,0.0489231841285631,0.1896851646716182,0.0604239021234036
raw_valid,0.0040034796726442,0.0582733496149636,0.0561533962672117
platt_valid,0.000308668955169,0.0140176284933692,0.0138601168541853
raw_train,0.0081659716194016,0.0295677338741516,0.0198637951013687
raw_valid,1.0589810372692796e-05,0.0,0.0026170693465872
identity_valid,1.0589810372692795e-05,0.0,0.002617069346587211
